DJXH,FPZL_DM,FP_DM,FS,FPQSHM,FPZT_DM
10114419000130385942,144196B512Z0,144191370775,1110000,04390001,05500000
10114401000132030995,144016951100,144011470408,950000,00000001,00950000
10114401000132150141,144016951100,144011470399,900000,00600001,01500000
10114401000131917625,144016951100,144011470806,800000,00000001,00800000
10114406000131865447,144067911150,144061420046,729950,03270051,04000000
10114401000130028591,144016B512A0,144011470404,540000,00560001,01100000
10114409000131203219,144096981100,144091490055,450000,00000001,00450000
10114401000131063075,144016951100,144011420260,411720,00188281,00600000
10114416000131489148,144166931200,144161250013,389427,00960574,01350000
10114402000130166497,144026951100,144021470222,300000,00000001,00300000
10114401000130677241,144016B511Z0,144011370340,280000,17640001,17920000
10114404000132362598,144046911100,144041470001,230000,00050001,00280000
10114419000130391454,144196911250,144191420051,207761,00092240,00300000
10114407000131547182,144076951100,144071470322,206998,00153003,00360000
10114401000131462047,144016961200,144011480702,200000,00000001,00200000
10114401000130861116,144016911300,144011420149,200000,00000001,00200000
10114401000130414977,144017911200,144011420760,200000,00040001,00240000
10114406000129861755,144066B512B0,144061370225,200000,00000001,00200000
10114420000131630529,144207911200,144201420141,140893,00009108,00150000
10114419000130409680,144196B51280,144191370771,125000,00000001,00125000
10114413000129918527,144137911200,144131420037,100000,00000001,00100000
10114419000130645069,144196911250,144191420084,64000,00026001,00090000
10114413000130280084,144136931300,144131450082,60000,00100001,00160000
10114401000131472334,1130,4400134140,58000,24794001,24852000
10114416000130570193,144166B51180,144161470046,50000,00000001,00050000
10114406000131300332,144067911250,144061420101,42060,00037941,00080000
10114419000131067207,144197911200,144191420191,40000,00020001,00060000
10114406000130465123,144066B512Z0,144061370279,40000,00760001,00800000
10114401000129972962,144016B511Z0,144011370578,40000,01060001,01100000
10114401000131472334,144017911100,144011420721,39724,22462929,22502652
10114419000130438872,144196911250,144191420092,37340,00032661,00070000
10114401000132519299,144017911200,144011220289,35000,01705001,01740000
10114406000132395892,144066B61290,144061380249,34100,00015901,00050000
10114419000131709541,144196911210,144191320426,33700,00076301,00110000
10114416000129983687,144167911300,144161350130,30000,00010001,00040000
10114405000130237418,144056951100,144051470550,30000,00030001,00060000
10114420000132051514,144207981100,144201480159,30000,00000001,00030000
10114406000129861755,144066951460,144061370224,30000,00000001,00030000
10114408000132308333,1440084112Z0,144001271125,30000,67710001,67740000
